GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Small, round, white, and abundant lenticels, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Small, round, white, and abundant lenticels, with patchy distribution. If elongated, the elongation is parallel to the branch.
2: Large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.","Terminal bud
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored",Thickness of twig,Color of twig,Hair Texture of twig,"Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch)
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch
","Nut presence 
(Y/N)","Shape/texture of nut
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
","Catkin presence 
(Y/N)","Color of bark 
0: Dark grey or black
1: Light grey or silvery
2: Tan or slightly pinkish","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: Betweeen 11.43 - 13.97 cm 
2: Longer than 13.97 cm",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Habitat,Latitude,Longitude,Year,Month,Day,Notes
4134374341,CM549062,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,,1,1,Stout,Tan or light green,Patchy hairs,n/a,Y,n/a,N,n/a,n/a,34.500767,38.369,29.061,n/a,n/a,0,4.981,n/a,n/a,n/a,n/a,2.757,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,10,11,n/a,n/a,2,edge of woods,41.05629722,-80.16023889,2022,9,9,
4132083353,GA277220,University of Georgia https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=258,W,,0,0,Slender,Tan to brown,Patchy hairs,n/a,N,n/a,N,n/a,0,41.943,32.604,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,9,n/a,n/a,n/a,0,"Wooded ""island"" in frequently mown meadow in floodplain.",34.991944,-83.557222,2021,9,25,
2859221803,CM537702,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,,0,n/a,n/a,n/a,n/a,0,N,n/a,Y,n/a,n/a,13.35,14.674,13.824,18.182,9.89,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.163,6.449,3.5,3.454,8.336,0,11,9,9,13,13,0,"Dry open shaly/siltstone roadbank strip with western exposure, mostly with sparse vegetation.",39.745123,-78.496042,2018,5,9,
3949990351,RSA0446668,California Botanic Garden Herbarium (RSA-VascularPlants) https://cch2.org/portal/collections/misc/collprofiles.php?collid=17,W,,1,1,Stout,Tan to brown,Patchy hairs,0,N,n/a,Y,n/a,n/a,9.568,7.822,6.431,11.063,12.221,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.1544,7.174,7.417,6.146,16.648,1,11,13,11,12,11,3,"Base of S-facing Wisconsin River valley bluff, woods which has invaded former pasture with Prunus serotina, Juniperus virginiana, Ulmus pumila, Morus alba, Juglans cinerea.",43.218889,-90.243889,2016,5,11,
4953997073,K004053502,Royal Botanic Garden https://data.kew.org/?_gl=1*jzbst5*_ga*MTkzMjM5MTY1NC4xNzI5ODAyMzM1*_ga_ZVV2HHW7P6*MTczMzcyOTQxOC4yLjEuMTczMzczMDM4NC4wLjAuMA..&lang=en-US,W,,n/a,0,Slender,Dark olive gree to red brown,Some (or no) hairs,0,N,n/a,Y,n/a,n/a,13.359,14.024,12.253,13.455,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.953,9.086,5.895,n/a,n/a,0,9,11,12,10,n/a,0,Sandstone ridge,43.219028,-90.243889,2016,5,11,
1989114475,1552122,Univeristy of Michigan https://scientific-collections.gbif.org/institution/6f734148-063f-462e-a332-4c4a7bf2b409,W,,0,0,Slender,Dark olive gree to red brown,Some (or no) hairs,n/a,N,n/a,N,n/a,n/a,34.111,38.6,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,n/a,n/a,n/a,0,at edge of backwater channel of the river.,43.93455,-86.1649667,2016,9,25,
1930311779,01132393,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,W,,1,0,Slender,Dark olive gree to red brown,Patchy hairs,n/a,N,n/a,N,n/a,n/a,22.514,18.943,4.166,40.076,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,13,4,15,n/a,1,Sandstone ridge,43.4452,-90.3635,2009,9,11,
4064846686,MOAR0012720,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,,2,1,Stout,Tan or light green,Patchy hairs,0,N,n/a,N,n/a,1,68.528,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.894,n/a,n/a,15,n/a,n/a,n/a,n/a,5,riparian forest,40.130005,-75.221207,2013,7,25,
3091271115,ASC00070592,Deaver Herbarium (Northern Arizona University) (ASC) https://swbiodiversity.org/seinet/collections/misc/collprofiles.php?collid=3,U,,0,n/a,n/a,n/a,n/a,0,Y,0,Y,n/a,n/a,10.123,11.354,9.399,11.112,7.27,0,2.723,2.317,2.599,n/a,n/a,2.401,2.544,2.836,n/a,n/a,4.694,4.971,4.825,4.865,5.26,0,7,9,15,13,11,0,Inside of pasture/old agricultural field,35.70757,-109.55523,2001,5,22,
3470664446,CAU00001910,Campbell University Herbarium https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=360,U,,1,0,Stout,Tan or light green,Patchy hairs,0,Y,n/a,N,n/a,n/a,45.655,28.44,n/a,n/a,n/a,0,3.98,5.44,n/a,n/a,n/a,3.126,3.088,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,7,n/a,n/a,n/a,1,n/a,n/a,n/a,1997,7,15,"United States, Missouri, Boone, 615 North 8th Street. ca 2 blocks north of intersection of 8th and Rogers streets."
