"","V1","V2"
"1","Leaf..1.length..cm.",14.8284259550502
"2","Leaf..2.length..cm.",-8.90995050620075
"3","Leaf..3.length..cm.",0.142665428756691
"4","Leaf..4.length..cm.",NA
"5","Leaf..5.length..cm.",NA
"6","Length.of.nut..1..cm.",0.185804533630633
"7","Length.of.nut..2..cm.",1.77674777906527
"8","Length.of.nut..3..cm.",5.27777777777777
"9","Length.of.nut..4..cm.",NA
"10","Length.of.nut..5..cm.",NA
"11","Width.of.nut..1..cm.",3.06211723534557
"12","Width.of.nut..2..cm.",3.02598789604841
"13","Width.of.nut..3..cm.",0.354889589905359
"14","Width.of.nut..4..cm.",NA
"15","Width.of.nut..5..cm.",NA
"16","Catkin.length..1..cm.",-1.02632014567125
"17","Catkin.length..2..cm.",-45.625910376146
"18","Catkin.length..3..cm.",0.940567066521264
"19","Catkin.length..4..cm.",0.878661087866105
"20","Catkin.length..5..cm.",2.0962296004502
"21","Leaf.Scar.Angle.....1",-11.7284917505402
"22","Leaf.Scar.Angle.....2",8.08511865286467
"23","Leaf.Scar.Angle.....3",16.0644760232515
"24","Leaf.Scar.Angle.....4",-4.66137349241623
"25","Leaf.Scar.Angle.....5",NA
