GBIF ID number,Garden/herbarium/catalog number,Consortium Herbarium Websites,Provenance,Brief Explanation of Provenance,"Lenticel shape
0: Small, round, white, and abundant lenticels, evenly distributed. If elongated, the elongation is perpendicular to the branch.
1: Small, round, white, and abundant lenticels, with patchy distribution. If elongated, the elongation is parallel to the branch.
2: Large, tan, corky lenticels with a patchy distribution. Many are dash-shaped and elongated parallel to the branch.","Terminal bud
0: Elongated, slender, conical and tan colored
1: Broadest at the base, less elongated, and slightly green colored",Thickness of twig,Color of twig,Hair Texture,"Leaf scar
0: Top edge of most leaf scars is straight or slightly arched
1: Top edge of some leaf scars has a small descending “V” shaped notched (an arch)
2: Top edge of most or all leaf scars has a clear descending “V” shaped notch
",Nut presence,"Shape/texture of nut
0: Cylindrical nut, round in cross section, with thin, sharp corrugations. The suture/seam is not easily distinguished from the longitudinal ridges
1: Slightly asymmetrical nut, with noticeable valleys between longitudinal ridges
2: Asymmetric, diamond-shaped or flattened nut, with dull or sparse corrugations. The suture/seam is easily identified and forms the widest part of the nut’s body
",Catkin presence (Y/N),"Color of bark 
0: Dark grey or black
1: Light grey or silvery
2: Tan or slightly pinkish","Pith color
0: Dark chocolate brown
1: Light brown
2: tan/honey brown",Leaf #1 length (cm),Leaf #2 length (cm),Leaf #3 length (cm),Leaf #4 length (cm),Leaf #5 length (cm),"Leaves
0: Most leaves less than 45.72 cm long
1: Many leaves 45.72 cm or longer", Length of nut #1 (cm), Length of nut #2 (cm), Length of nut #3 (cm), Length of nut #4 (cm), Length of nut #5 (cm), Width of nut #1 (cm), Width of nut #2 (cm), Width of nut #3 (cm), Width of nut #4 (cm), Width of nut #5 (cm),Catkin length #1 (cm),Catkin length #2 (cm),Catkin length #3 (cm),Catkin length #4 (cm),Catkin length #5 (cm),"Catkin length score
0 : Shorter than 11.43 cm
1: 11.43 - 13.97 cm 
2: Longer than 13.97 cm",Leaflet amount #1,Leaflet amount #2,Leaflet amount #3,Leaflet amount #4,Leaflet amount #5,"Score
<3 = Butternut
>3 = hybrid or heartnut",Description of location,Latitude,Longitude,Year,Month,Day,Notes
4134374341,CM549062,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,,2,0,,,,n/a,,0,N,n/a,n/a,29.282,38.412,n/a,n/a,n/a,0,5.048,n/a,n/a,n/a,n/a,2.723,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11,11,13,n/a,n/a,2,,,,,,,
4132083353,GA277220,University of Georgia https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=258,W,,0,0,,,,n/a,,n/a,N,n/a,0,40.887,32.526,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,11,n/a,n/a,n/a,1,,,,,,,
2859221803,CM537702,Carnegie Museum of Natural History Herbarium (CM-Botany) https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=328,W,,0,0,,,,0,,n/a,Y,n/a,n/a,18.103,13.664,13.445,14.584,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.269,3.46,7.934,6.649,n/a,0,12,9,11,11,n/a,0,,,,,,,
3949990351,RSA0446668,California Botanic Garden Herbarium (RSA-VascularPlants) https://cch2.org/portal/collections/misc/collprofiles.php?collid=17,W,,0,0,,,,0,,n/a,Y,n/a,n/a,10.851,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.354,7.329,7.188,6.049,n/a,0,11,n/a,n/a,n/a,n/a,0,,,,,,,"Evidence of bunch. despite the many leaves, "
4953997073,K004053502,Royal Botanic Garden https://data.kew.org/?_gl=1*jzbst5*_ga*MTkzMjM5MTY1NC4xNzI5ODAyMzM1*_ga_ZVV2HHW7P6*MTczMzcyOTQxOC4yLjEuMTczMzczMDM4NC4wLjAuMA..&lang=en-US,W,,n/a,0,,,,0,,n/a,Y,n/a,n/a,14.199,13.316,12.62,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.436,5.997,n/a,n/a,n/a,0,9,11,13,n/a,n/a,0,,,,,,,
1989114475,1552122,Univeristy of Michigan https://scientific-collections.gbif.org/institution/6f734148-063f-462e-a332-4c4a7bf2b409,W,,0,0,,,,0,,n/a,N,n/a,n/a,39.243,34.445,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,13,n/a,n/a,n/a,0,,,,,,,
1930311779,1132393,New York Botanic Garden https://sweetgum.nybg.org/science/vh/,W,,0,0,,,,n/a,,n/a,N,n/a,n/a,22.644,40.197,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,15,11,n/a,n/a,0,,,,,,,
4064846686,MOAR0012720,Morris Arboretum https://midatlanticherbaria.org/portal/collections/misc/collprofiles.php?collid=320,W,,2,1,,,,1,,n/a,N,n/a,2,68.876,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a,n/a,n/a,n/a,7,,,,,,,
3091271115,ASC00070592,Deaver Herbarium (Northern Arizona University) (ASC) https://swbiodiversity.org/seinet/collections/misc/collprofiles.php?collid=3,U,"GPS shows next to building, outside of native range, old farm field",0,n/a,,,,0,,0,Y,n/a,n/a,9.704,9.918,10.877,9.517,n/a,0,2.7,2.719,2.587,n/a,n/a,2.35,2.802,2.419,n/a,n/a,4.23,5.042,3.532,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,0,,,,,,,
3470664446,CAU00001910,Campbell University Herbarium https://sernecportal.org/portal/collections/misc/collprofiles.php?collid=360,G,Herbarium label indicates this is a CULTIVATED specimen,0,0,,,,0,,0,N,n/a,n/a,28.082,44.922,n/a,n/a,n/a,0,5.492,4.201,n/a,n/a,n/a,3.076,3.31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,7,n/a,n/a,n/a,0,,,,,,,
